icon_entry_a_arrow_down	a-arrow-down	IconAArrowDown
icon_entry_a_arrow_up	a-arrow-up	IconAArrowUp
icon_entry_a_large_small	a-large-small	IconALargeSmall
icon_entry_accessibility	accessibility	IconAccessibility
icon_entry_activity	activity	IconActivity
icon_entry_air_vent	air-vent	IconAirVent
icon_entry_airplay	airplay	IconAirplay
icon_entry_alarm_clock_check	alarm-clock-check	IconAlarmClockCheck
icon_entry_alarm_clock_minus	alarm-clock-minus	IconAlarmClockMinus
icon_entry_alarm_clock_off	alarm-clock-off	IconAlarmClockOff
icon_entry_alarm_clock_plus	alarm-clock-plus	IconAlarmClockPlus
icon_entry_alarm_clock	alarm-clock	IconAlarmClock
icon_entry_alarm_smoke	alarm-smoke	IconAlarmSmoke
icon_entry_album	album	IconAlbum
icon_entry_align_center_horizontal	align-center-horizontal	IconAlignCenterHorizontal
icon_entry_align_center_vertical	align-center-vertical	IconAlignCenterVertical
icon_entry_align_end_horizontal	align-end-horizontal	IconAlignEndHorizontal
icon_entry_align_end_vertical	align-end-vertical	IconAlignEndVertical
icon_entry_align_horizontal_distribute_center	align-horizontal-distribute-center	IconAlignHorizontalDistributeCenter
icon_entry_align_horizontal_distribute_end	align-horizontal-distribute-end	IconAlignHorizontalDistributeEnd
icon_entry_align_horizontal_distribute_start	align-horizontal-distribute-start	IconAlignHorizontalDistributeStart
icon_entry_align_horizontal_justify_center	align-horizontal-justify-center	IconAlignHorizontalJustifyCenter
icon_entry_align_horizontal_justify_end	align-horizontal-justify-end	IconAlignHorizontalJustifyEnd
icon_entry_align_horizontal_justify_start	align-horizontal-justify-start	IconAlignHorizontalJustifyStart
icon_entry_align_horizontal_space_around	align-horizontal-space-around	IconAlignHorizontalSpaceAround
icon_entry_align_horizontal_space_between	align-horizontal-space-between	IconAlignHorizontalSpaceBetween
icon_entry_align_start_horizontal	align-start-horizontal	IconAlignStartHorizontal
icon_entry_align_start_vertical	align-start-vertical	IconAlignStartVertical
icon_entry_align_vertical_distribute_center	align-vertical-distribute-center	IconAlignVerticalDistributeCenter
icon_entry_align_vertical_distribute_end	align-vertical-distribute-end	IconAlignVerticalDistributeEnd
icon_entry_align_vertical_distribute_start	align-vertical-distribute-start	IconAlignVerticalDistributeStart
icon_entry_align_vertical_justify_center	align-vertical-justify-center	IconAlignVerticalJustifyCenter
icon_entry_align_vertical_justify_end	align-vertical-justify-end	IconAlignVerticalJustifyEnd
icon_entry_align_vertical_justify_start	align-vertical-justify-start	IconAlignVerticalJustifyStart
icon_entry_align_vertical_space_around	align-vertical-space-around	IconAlignVerticalSpaceAround
icon_entry_align_vertical_space_between	align-vertical-space-between	IconAlignVerticalSpaceBetween
icon_entry_ambulance	ambulance	IconAmbulance
icon_entry_ampersand	ampersand	IconAmpersand
icon_entry_ampersands	ampersands	IconAmpersands
icon_entry_amphora	amphora	IconAmphora
icon_entry_anchor	anchor	IconAnchor
icon_entry_angry	angry	IconAngry
icon_entry_annoyed	annoyed	IconAnnoyed
icon_entry_antenna	antenna	IconAntenna
icon_entry_anvil	anvil	IconAnvil
icon_entry_aperture	aperture	IconAperture
icon_entry_app_window_mac	app-window-mac	IconAppWindowMac
icon_entry_app_window	app-window	IconAppWindow
icon_entry_apple	apple	IconApple
icon_entry_archive_restore	archive-restore	IconArchiveRestore
icon_entry_archive_x	archive-x	IconArchiveX
icon_entry_archive	archive	IconArchive
icon_entry_armchair	armchair	IconArmchair
icon_entry_arrow_big_down_dash	arrow-big-down-dash	IconArrowBigDownDash
icon_entry_arrow_big_down	arrow-big-down	IconArrowBigDown
icon_entry_arrow_big_left_dash	arrow-big-left-dash	IconArrowBigLeftDash
icon_entry_arrow_big_left	arrow-big-left	IconArrowBigLeft
icon_entry_arrow_big_right_dash	arrow-big-right-dash	IconArrowBigRightDash
icon_entry_arrow_big_right	arrow-big-right	IconArrowBigRight
icon_entry_arrow_big_up_dash	arrow-big-up-dash	IconArrowBigUpDash
icon_entry_arrow_big_up	arrow-big-up	IconArrowBigUp
icon_entry_arrow_down_0_1	arrow-down-0-1	IconArrowDown01
icon_entry_arrow_down_1_0	arrow-down-1-0	IconArrowDown10
icon_entry_arrow_down_a_z	arrow-down-a-z	IconArrowDownAZ
icon_entry_arrow_down_from_line	arrow-down-from-line	IconArrowDownFromLine
icon_entry_arrow_down_left	arrow-down-left	IconArrowDownLeft
icon_entry_arrow_down_narrow_wide	arrow-down-narrow-wide	IconArrowDownNarrowWide
icon_entry_arrow_down_right	arrow-down-right	IconArrowDownRight
icon_entry_arrow_down_to_dot	arrow-down-to-dot	IconArrowDownToDot
icon_entry_arrow_down_to_line	arrow-down-to-line	IconArrowDownToLine
icon_entry_arrow_down_up	arrow-down-up	IconArrowDownUp
icon_entry_arrow_down_wide_narrow	arrow-down-wide-narrow	IconArrowDownWideNarrow
icon_entry_arrow_down_z_a	arrow-down-z-a	IconArrowDownZA
icon_entry_arrow_down	arrow-down	IconArrowDown
icon_entry_arrow_left_from_line	arrow-left-from-line	IconArrowLeftFromLine
icon_entry_arrow_left_right	arrow-left-right	IconArrowLeftRight
icon_entry_arrow_left_to_line	arrow-left-to-line	IconArrowLeftToLine
icon_entry_arrow_left	arrow-left	IconArrowLeft
icon_entry_arrow_right_from_line	arrow-right-from-line	IconArrowRightFromLine
icon_entry_arrow_right_left	arrow-right-left	IconArrowRightLeft
icon_entry_arrow_right_to_line	arrow-right-to-line	IconArrowRightToLine
icon_entry_arrow_right	arrow-right	IconArrowRight
icon_entry_arrow_up_0_1	arrow-up-0-1	IconArrowUp01
icon_entry_arrow_up_1_0	arrow-up-1-0	IconArrowUp10
icon_entry_arrow_up_a_z	arrow-up-a-z	IconArrowUpAZ
icon_entry_arrow_up_down	arrow-up-down	IconArrowUpDown
icon_entry_arrow_up_from_dot	arrow-up-from-dot	IconArrowUpFromDot
icon_entry_arrow_up_from_line	arrow-up-from-line	IconArrowUpFromLine
icon_entry_arrow_up_left	arrow-up-left	IconArrowUpLeft
icon_entry_arrow_up_narrow_wide	arrow-up-narrow-wide	IconArrowUpNarrowWide
icon_entry_arrow_up_right	arrow-up-right	IconArrowUpRight
icon_entry_arrow_up_to_line	arrow-up-to-line	IconArrowUpToLine
icon_entry_arrow_up_wide_narrow	arrow-up-wide-narrow	IconArrowUpWideNarrow
icon_entry_arrow_up_z_a	arrow-up-z-a	IconArrowUpZA
icon_entry_arrow_up	arrow-up	IconArrowUp
icon_entry_arrows_up_from_line	arrows-up-from-line	IconArrowsUpFromLine
icon_entry_asterisk	asterisk	IconAsterisk
icon_entry_at_sign	at-sign	IconAtSign
icon_entry_atom	atom	IconAtom
icon_entry_audio_lines	audio-lines	IconAudioLines
icon_entry_audio_waveform	audio-waveform	IconAudioWaveform
icon_entry_award	award	IconAward
icon_entry_axe	axe	IconAxe
icon_entry_axis_3d	axis-3d	IconAxis3d
icon_entry_baby	baby	IconBaby
icon_entry_backpack	backpack	IconBackpack
icon_entry_badge_alert	badge-alert	IconBadgeAlert
icon_entry_badge_cent	badge-cent	IconBadgeCent
icon_entry_badge_check	badge-check	IconBadgeCheck
icon_entry_badge_dollar_sign	badge-dollar-sign	IconBadgeDollarSign
icon_entry_badge_euro	badge-euro	IconBadgeEuro
icon_entry_badge_indian_rupee	badge-indian-rupee	IconBadgeIndianRupee
icon_entry_badge_info	badge-info	IconBadgeInfo
icon_entry_badge_japanese_yen	badge-japanese-yen	IconBadgeJapaneseYen
icon_entry_badge_minus	badge-minus	IconBadgeMinus
icon_entry_badge_percent	badge-percent	IconBadgePercent
icon_entry_badge_plus	badge-plus	IconBadgePlus
icon_entry_badge_pound_sterling	badge-pound-sterling	IconBadgePoundSterling
icon_entry_badge_question_mark	badge-question-mark	IconBadgeQuestionMark
icon_entry_badge_russian_ruble	badge-russian-ruble	IconBadgeRussianRuble
icon_entry_badge_swiss_franc	badge-swiss-franc	IconBadgeSwissFranc
icon_entry_badge_turkish_lira	badge-turkish-lira	IconBadgeTurkishLira
icon_entry_badge_x	badge-x	IconBadgeX
icon_entry_badge	badge	IconBadge
icon_entry_baggage_claim	baggage-claim	IconBaggageClaim
icon_entry_balloon	balloon	IconBalloon
icon_entry_ban	ban	IconBan
icon_entry_banana	banana	IconBanana
icon_entry_bandage	bandage	IconBandage
icon_entry_banknote_arrow_down	banknote-arrow-down	IconBanknoteArrowDown
icon_entry_banknote_arrow_up	banknote-arrow-up	IconBanknoteArrowUp
icon_entry_banknote_x	banknote-x	IconBanknoteX
icon_entry_banknote	banknote	IconBanknote
icon_entry_barcode	barcode	IconBarcode
icon_entry_barrel	barrel	IconBarrel
icon_entry_baseline	baseline	IconBaseline
icon_entry_bath	bath	IconBath
icon_entry_battery_charging	battery-charging	IconBatteryCharging
icon_entry_battery_full	battery-full	IconBatteryFull
icon_entry_battery_low	battery-low	IconBatteryLow
icon_entry_battery_medium	battery-medium	IconBatteryMedium
icon_entry_battery_plus	battery-plus	IconBatteryPlus
icon_entry_battery_warning	battery-warning	IconBatteryWarning
icon_entry_battery	battery	IconBattery
icon_entry_beaker	beaker	IconBeaker
icon_entry_bean_off	bean-off	IconBeanOff
icon_entry_bean	bean	IconBean
icon_entry_bed_double	bed-double	IconBedDouble
icon_entry_bed_single	bed-single	IconBedSingle
icon_entry_bed	bed	IconBed
icon_entry_beef	beef	IconBeef
icon_entry_beer_off	beer-off	IconBeerOff
icon_entry_beer	beer	IconBeer
icon_entry_bell_dot	bell-dot	IconBellDot
icon_entry_bell_electric	bell-electric	IconBellElectric
icon_entry_bell_minus	bell-minus	IconBellMinus
icon_entry_bell_off	bell-off	IconBellOff
icon_entry_bell_plus	bell-plus	IconBellPlus
icon_entry_bell_ring	bell-ring	IconBellRing
icon_entry_bell	bell	IconBell
icon_entry_between_horizontal_end	between-horizontal-end	IconBetweenHorizontalEnd
icon_entry_between_horizontal_start	between-horizontal-start	IconBetweenHorizontalStart
icon_entry_between_vertical_end	between-vertical-end	IconBetweenVerticalEnd
icon_entry_between_vertical_start	between-vertical-start	IconBetweenVerticalStart
icon_entry_biceps_flexed	biceps-flexed	IconBicepsFlexed
icon_entry_bike	bike	IconBike
icon_entry_binary	binary	IconBinary
icon_entry_binoculars	binoculars	IconBinoculars
icon_entry_biohazard	biohazard	IconBiohazard
icon_entry_bird	bird	IconBird
icon_entry_birdhouse	birdhouse	IconBirdhouse
icon_entry_bitcoin	bitcoin	IconBitcoin
icon_entry_blend	blend	IconBlend
icon_entry_blinds	blinds	IconBlinds
icon_entry_blocks	blocks	IconBlocks
icon_entry_bluetooth_connected	bluetooth-connected	IconBluetoothConnected
icon_entry_bluetooth_off	bluetooth-off	IconBluetoothOff
icon_entry_bluetooth_searching	bluetooth-searching	IconBluetoothSearching
icon_entry_bluetooth	bluetooth	IconBluetooth
icon_entry_bold	bold	IconBold
icon_entry_bolt	bolt	IconBolt
icon_entry_bomb	bomb	IconBomb
icon_entry_bone	bone	IconBone
icon_entry_book_a	book-a	IconBookA
icon_entry_book_alert	book-alert	IconBookAlert
icon_entry_book_audio	book-audio	IconBookAudio
icon_entry_book_check	book-check	IconBookCheck
icon_entry_book_copy	book-copy	IconBookCopy
icon_entry_book_dashed	book-dashed	IconBookDashed
icon_entry_book_down	book-down	IconBookDown
icon_entry_book_headphones	book-headphones	IconBookHeadphones
icon_entry_book_heart	book-heart	IconBookHeart
icon_entry_book_image	book-image	IconBookImage
icon_entry_book_key	book-key	IconBookKey
icon_entry_book_lock	book-lock	IconBookLock
icon_entry_book_marked	book-marked	IconBookMarked
icon_entry_book_minus	book-minus	IconBookMinus
icon_entry_book_open_check	book-open-check	IconBookOpenCheck
icon_entry_book_open_text	book-open-text	IconBookOpenText
icon_entry_book_open	book-open	IconBookOpen
icon_entry_book_plus	book-plus	IconBookPlus
icon_entry_book_search	book-search	IconBookSearch
icon_entry_book_text	book-text	IconBookText
icon_entry_book_type	book-type	IconBookType
icon_entry_book_up_2	book-up-2	IconBookUp2
icon_entry_book_up	book-up	IconBookUp
icon_entry_book_user	book-user	IconBookUser
icon_entry_book_x	book-x	IconBookX
icon_entry_book	book	IconBook
icon_entry_bookmark_check	bookmark-check	IconBookmarkCheck
icon_entry_bookmark_minus	bookmark-minus	IconBookmarkMinus
icon_entry_bookmark_plus	bookmark-plus	IconBookmarkPlus
icon_entry_bookmark_x	bookmark-x	IconBookmarkX
icon_entry_bookmark	bookmark	IconBookmark
icon_entry_boom_box	boom-box	IconBoomBox
icon_entry_bot_message_square	bot-message-square	IconBotMessageSquare
icon_entry_bot_off	bot-off	IconBotOff
icon_entry_bot	bot	IconBot
icon_entry_bottle_wine	bottle-wine	IconBottleWine
icon_entry_bow_arrow	bow-arrow	IconBowArrow
icon_entry_box	box	IconBox
icon_entry_boxes	boxes	IconBoxes
icon_entry_braces	braces	IconBraces
icon_entry_brackets	brackets	IconBrackets
icon_entry_brain_circuit	brain-circuit	IconBrainCircuit
icon_entry_brain_cog	brain-cog	IconBrainCog
icon_entry_brain	brain	IconBrain
icon_entry_brick_wall_fire	brick-wall-fire	IconBrickWallFire
icon_entry_brick_wall_shield	brick-wall-shield	IconBrickWallShield
icon_entry_brick_wall	brick-wall	IconBrickWall
icon_entry_briefcase_business	briefcase-business	IconBriefcaseBusiness
icon_entry_briefcase_conveyor_belt	briefcase-conveyor-belt	IconBriefcaseConveyorBelt
icon_entry_briefcase_medical	briefcase-medical	IconBriefcaseMedical
icon_entry_briefcase	briefcase	IconBriefcase
icon_entry_bring_to_front	bring-to-front	IconBringToFront
icon_entry_brush_cleaning	brush-cleaning	IconBrushCleaning
icon_entry_brush	brush	IconBrush
icon_entry_bubbles	bubbles	IconBubbles
icon_entry_bug_off	bug-off	IconBugOff
icon_entry_bug_play	bug-play	IconBugPlay
icon_entry_bug	bug	IconBug
icon_entry_building_2	building-2	IconBuilding2
icon_entry_building	building	IconBuilding
icon_entry_bus_front	bus-front	IconBusFront
icon_entry_bus	bus	IconBus
icon_entry_cable_car	cable-car	IconCableCar
icon_entry_cable	cable	IconCable
icon_entry_cake_slice	cake-slice	IconCakeSlice
icon_entry_cake	cake	IconCake
icon_entry_calculator	calculator	IconCalculator
icon_entry_calendar_1	calendar-1	IconCalendar1
icon_entry_calendar_arrow_down	calendar-arrow-down	IconCalendarArrowDown
icon_entry_calendar_arrow_up	calendar-arrow-up	IconCalendarArrowUp
icon_entry_calendar_check_2	calendar-check-2	IconCalendarCheck2
icon_entry_calendar_check	calendar-check	IconCalendarCheck
icon_entry_calendar_clock	calendar-clock	IconCalendarClock
icon_entry_calendar_cog	calendar-cog	IconCalendarCog
icon_entry_calendar_days	calendar-days	IconCalendarDays
icon_entry_calendar_fold	calendar-fold	IconCalendarFold
icon_entry_calendar_heart	calendar-heart	IconCalendarHeart
icon_entry_calendar_minus_2	calendar-minus-2	IconCalendarMinus2
icon_entry_calendar_minus	calendar-minus	IconCalendarMinus
icon_entry_calendar_off	calendar-off	IconCalendarOff
icon_entry_calendar_plus_2	calendar-plus-2	IconCalendarPlus2
icon_entry_calendar_plus	calendar-plus	IconCalendarPlus
icon_entry_calendar_range	calendar-range	IconCalendarRange
icon_entry_calendar_search	calendar-search	IconCalendarSearch
icon_entry_calendar_sync	calendar-sync	IconCalendarSync
icon_entry_calendar_x_2	calendar-x-2	IconCalendarX2
icon_entry_calendar_x	calendar-x	IconCalendarX
icon_entry_calendar	calendar	IconCalendar
icon_entry_calendars	calendars	IconCalendars
icon_entry_camera_off	camera-off	IconCameraOff
icon_entry_camera	camera	IconCamera
icon_entry_candy_cane	candy-cane	IconCandyCane
icon_entry_candy_off	candy-off	IconCandyOff
icon_entry_candy	candy	IconCandy
icon_entry_cannabis_off	cannabis-off	IconCannabisOff
icon_entry_cannabis	cannabis	IconCannabis
icon_entry_captions_off	captions-off	IconCaptionsOff
icon_entry_captions	captions	IconCaptions
icon_entry_car_front	car-front	IconCarFront
icon_entry_car_taxi_front	car-taxi-front	IconCarTaxiFront
icon_entry_car	car	IconCar
icon_entry_caravan	caravan	IconCaravan
icon_entry_card_sim	card-sim	IconCardSim
icon_entry_carrot	carrot	IconCarrot
icon_entry_case_lower	case-lower	IconCaseLower
icon_entry_case_sensitive	case-sensitive	IconCaseSensitive
icon_entry_case_upper	case-upper	IconCaseUpper
icon_entry_cassette_tape	cassette-tape	IconCassetteTape
icon_entry_cast	cast	IconCast
icon_entry_castle	castle	IconCastle
icon_entry_cat	cat	IconCat
icon_entry_cctv	cctv	IconCctv
icon_entry_chart_area	chart-area	IconChartArea
icon_entry_chart_bar_big	chart-bar-big	IconChartBarBig
icon_entry_chart_bar_decreasing	chart-bar-decreasing	IconChartBarDecreasing
icon_entry_chart_bar_increasing	chart-bar-increasing	IconChartBarIncreasing
icon_entry_chart_bar_stacked	chart-bar-stacked	IconChartBarStacked
icon_entry_chart_bar	chart-bar	IconChartBar
icon_entry_chart_candlestick	chart-candlestick	IconChartCandlestick
icon_entry_chart_column_big	chart-column-big	IconChartColumnBig
icon_entry_chart_column_decreasing	chart-column-decreasing	IconChartColumnDecreasing
icon_entry_chart_column_increasing	chart-column-increasing	IconChartColumnIncreasing
icon_entry_chart_column_stacked	chart-column-stacked	IconChartColumnStacked
icon_entry_chart_column	chart-column	IconChartColumn
icon_entry_chart_gantt	chart-gantt	IconChartGantt
icon_entry_chart_line	chart-line	IconChartLine
icon_entry_chart_network	chart-network	IconChartNetwork
icon_entry_chart_no_axes_column_decreasing	chart-no-axes-column-decreasing	IconChartNoAxesColumnDecreasing
icon_entry_chart_no_axes_column_increasing	chart-no-axes-column-increasing	IconChartNoAxesColumnIncreasing
icon_entry_chart_no_axes_column	chart-no-axes-column	IconChartNoAxesColumn
icon_entry_chart_no_axes_combined	chart-no-axes-combined	IconChartNoAxesCombined
icon_entry_chart_no_axes_gantt	chart-no-axes-gantt	IconChartNoAxesGantt
icon_entry_chart_pie	chart-pie	IconChartPie
icon_entry_chart_scatter	chart-scatter	IconChartScatter
icon_entry_chart_spline	chart-spline	IconChartSpline
icon_entry_check_check	check-check	IconCheckCheck
icon_entry_check_line	check-line	IconCheckLine
icon_entry_check	check	IconCheck
icon_entry_chef_hat	chef-hat	IconChefHat
icon_entry_cherry	cherry	IconCherry
icon_entry_chess_bishop	chess-bishop	IconChessBishop
icon_entry_chess_king	chess-king	IconChessKing
icon_entry_chess_knight	chess-knight	IconChessKnight
icon_entry_chess_pawn	chess-pawn	IconChessPawn
icon_entry_chess_queen	chess-queen	IconChessQueen
icon_entry_chess_rook	chess-rook	IconChessRook
icon_entry_chevron_down	chevron-down	IconChevronDown
icon_entry_chevron_first	chevron-first	IconChevronFirst
icon_entry_chevron_last	chevron-last	IconChevronLast
icon_entry_chevron_left	chevron-left	IconChevronLeft
icon_entry_chevron_right	chevron-right	IconChevronRight
icon_entry_chevron_up	chevron-up	IconChevronUp
icon_entry_chevrons_down_up	chevrons-down-up	IconChevronsDownUp
icon_entry_chevrons_down	chevrons-down	IconChevronsDown
icon_entry_chevrons_left_right_ellipsis	chevrons-left-right-ellipsis	IconChevronsLeftRightEllipsis
icon_entry_chevrons_left_right	chevrons-left-right	IconChevronsLeftRight
icon_entry_chevrons_left	chevrons-left	IconChevronsLeft
icon_entry_chevrons_right_left	chevrons-right-left	IconChevronsRightLeft
icon_entry_chevrons_right	chevrons-right	IconChevronsRight
icon_entry_chevrons_up_down	chevrons-up-down	IconChevronsUpDown
icon_entry_chevrons_up	chevrons-up	IconChevronsUp
icon_entry_chromium	chromium	IconChromium
icon_entry_church	church	IconChurch
icon_entry_cigarette_off	cigarette-off	IconCigaretteOff
icon_entry_cigarette	cigarette	IconCigarette
icon_entry_circle_alert	circle-alert	IconCircleAlert
icon_entry_circle_arrow_down	circle-arrow-down	IconCircleArrowDown
icon_entry_circle_arrow_left	circle-arrow-left	IconCircleArrowLeft
icon_entry_circle_arrow_out_down_left	circle-arrow-out-down-left	IconCircleArrowOutDownLeft
icon_entry_circle_arrow_out_down_right	circle-arrow-out-down-right	IconCircleArrowOutDownRight
icon_entry_circle_arrow_out_up_left	circle-arrow-out-up-left	IconCircleArrowOutUpLeft
icon_entry_circle_arrow_out_up_right	circle-arrow-out-up-right	IconCircleArrowOutUpRight
icon_entry_circle_arrow_right	circle-arrow-right	IconCircleArrowRight
icon_entry_circle_arrow_up	circle-arrow-up	IconCircleArrowUp
icon_entry_circle_check_big	circle-check-big	IconCircleCheckBig
icon_entry_circle_check	circle-check	IconCircleCheck
icon_entry_circle_chevron_down	circle-chevron-down	IconCircleChevronDown
icon_entry_circle_chevron_left	circle-chevron-left	IconCircleChevronLeft
icon_entry_circle_chevron_right	circle-chevron-right	IconCircleChevronRight
icon_entry_circle_chevron_up	circle-chevron-up	IconCircleChevronUp
icon_entry_circle_dashed	circle-dashed	IconCircleDashed
icon_entry_circle_divide	circle-divide	IconCircleDivide
icon_entry_circle_dollar_sign	circle-dollar-sign	IconCircleDollarSign
icon_entry_circle_dot_dashed	circle-dot-dashed	IconCircleDotDashed
icon_entry_circle_dot	circle-dot	IconCircleDot
icon_entry_circle_ellipsis	circle-ellipsis	IconCircleEllipsis
icon_entry_circle_equal	circle-equal	IconCircleEqual
icon_entry_circle_fading_arrow_up	circle-fading-arrow-up	IconCircleFadingArrowUp
icon_entry_circle_fading_plus	circle-fading-plus	IconCircleFadingPlus
icon_entry_circle_gauge	circle-gauge	IconCircleGauge
icon_entry_circle_minus	circle-minus	IconCircleMinus
icon_entry_circle_off	circle-off	IconCircleOff
icon_entry_circle_parking_off	circle-parking-off	IconCircleParkingOff
icon_entry_circle_parking	circle-parking	IconCircleParking
icon_entry_circle_pause	circle-pause	IconCirclePause
icon_entry_circle_percent	circle-percent	IconCirclePercent
icon_entry_circle_pile	circle-pile	IconCirclePile
icon_entry_circle_play	circle-play	IconCirclePlay
icon_entry_circle_plus	circle-plus	IconCirclePlus
icon_entry_circle_pound_sterling	circle-pound-sterling	IconCirclePoundSterling
icon_entry_circle_power	circle-power	IconCirclePower
icon_entry_circle_question_mark	circle-question-mark	IconCircleQuestionMark
icon_entry_circle_slash_2	circle-slash-2	IconCircleSlash2
icon_entry_circle_slash	circle-slash	IconCircleSlash
icon_entry_circle_small	circle-small	IconCircleSmall
